Month,Incident Number,Date of Incident,Day of Week,Number of Victims under 18,Number of Victims over 18,Number of Offenders under 18,Number of Offenders over 18,Race/Ethnicity of Offenders,Offense(s),Offense Location,Bias,Zip Code,APD Sector,Council District
Aug,2017-204828,05-07-2017 00:00,Sat,2,1,2,3,Black or African American/Not Hispanic,Theft,Park/Playground,Anti-Asian,78757,Edward,8
Aug,2017-486897,01-10-2017 00:00,Mon,1,0,2,1,Unknown,Robbery,Home/Residence,Anti-Jewish,78704,Charlie,1
Aug,2017-498499,07/28/2017 12:00:00 AM,Thu,0,2,0,3,White/Not Hispanic,Burglary,Park/Playground,Anti-Asian,78702,Edward,10
Apr,2017-469762,06/21/2017 12:00:00 AM,Tue,2,1,1,0,Unknown,Aggravated Assault,Park/Playground,Anti-Other,78702,David,9
May,2017-437074,10-06-2017 00:00,Thu,2,3,1,0,Other,Aggravated Assault,School/College,Anti-Asian,78701,Henry,4
Sep,2017-331107,06-10-2017 00:00,Fri,1,3,0,0,Other,Robbery,Home/Residence,Anti-White,78704,Ida,2
Jul,2017-709349,03-04-2017 00:00,Fri,1,2,2,1,Hispanic,Aggravated Assault,Store/Shop,Anti-Jewish,78702,Ida,2
Oct,2017-528506,06/14/2017 12:00:00 AM,Tue,0,3,1,1,Other,Robbery,Park/Playground,Anti-Other,78757,Edward,10
Mar,2017-899320,03/27/2017 12:00:00 AM,Sun,0,2,1,1,Hispanic,Burglary,Park/Playground,Anti-Jewish,78702,Edward,9
Mar,2017-892174,12-01-2017 00:00,Thu,0,3,0,0,Hispanic,Destruction,Store/Shop,Anti-White,78705,Edward,7
Sep,2017-266589,01-02-2017 00:00,Sun,0,2,1,3,Unknown,Vandalism,Home/Residence,Anti-Black or African American,78704,David,9
Jul,2017-826709,08-05-2017 00:00,Fri,1,3,1,3,Other,Vandalism,Park/Playground,Anti-Jewish,78705,Ida,8
Jun,2017-267877,07/19/2017 12:00:00 AM,Tue,0,1,1,2,Hispanic,Theft,Other,Anti-Asian,78701,Ida,10
Mar,2017-895590,09-11-2017 00:00,Sun,2,0,1,1,White/Not Hispanic,Burglary,Other,Anti-White,78757,Edward,4
Dec,2017-610997,06/27/2017 12:00:00 AM,Mon,2,0,2,0,Unknown,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78702,Ida,3
Jan,2017-317424,03/20/2017 12:00:00 AM,Sun,2,0,2,1,Black or African American/Not Hispanic,Robbery,School/College,Anti-Hispanic,78705,Henry,3
Apr,2017-111570,07-06-2017 00:00,Wed,1,0,1,2,Other,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78757,Charlie,2
Feb,2017-732144,04/28/2017 12:00:00 AM,Thu,1,0,1,1,Black or African American/Not Hispanic,Robbery,Other,Anti-White,78757,Edward,5
May,2017-899948,12/21/2017 12:00:00 AM,Wed,2,3,2,3,White/Not Hispanic,Robbery,Other,Anti-White,78704,David,7
Mar,2017-719138,03/21/2017 12:00:00 AM,Mon,2,0,0,2,White/Not Hispanic,Vandalism,School/College,Anti-Hispanic,78702,Edward,2
May,2017-304066,11/27/2017 12:00:00 AM,Sun,0,3,0,2,Unknown,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78705,Ida,5
Sep,2017-847184,01-12-2017 00:00,Wed,2,1,2,0,Asian,Aggravated Assault,Other,Anti-Hispanic,78701,Charlie,3
Oct,2017-973301,10/14/2017 12:00:00 AM,Fri,2,0,1,0,Hispanic,Aggravated Assault,Park/Playground,Anti-Jewish,78705,David,6
Jul,2017-769661,11-10-2017 00:00,Thu,1,0,1,3,Hispanic,Burglary,Store/Shop,Anti-Hispanic,78705,Henry,3
Jun,2017-155811,06/19/2017 12:00:00 AM,Sun,2,3,2,1,Unknown,Aggravated Assault,Park/Playground,Anti-Other,78757,Charlie,5
Feb,2017-874009,05/29/2017 12:00:00 AM,Sun,0,1,2,0,Unknown,Burglary,School/College,Anti-Black or African American,78704,Ida,7
Mar,2017-557537,10/26/2017 12:00:00 AM,Wed,2,1,0,0,Asian,Destruction,Store/Shop,Anti-Other,78704,David,7
Oct,2017-328210,03-08-2017 00:00,Tue,0,1,1,3,Asian,Burglary,Store/Shop,Anti-White,78702,Edward,7
Sep,2017-613495,06-03-2017 00:00,Fri,2,2,1,0,Black or African American/Not Hispanic,Robbery,Store/Shop,Anti-Other,78701,Edward,7
May,2017-310519,06-01-2017 00:00,Wed,1,2,2,1,Asian,Theft,Other,Anti-White,78705,Ida,6
Sep,2017-786597,08/14/2017 12:00:00 AM,Sun,1,0,1,0,White/Not Hispanic,Aggravated Assault,Home/Residence,Anti-White,78702,Ida,8
Mar,2017-419738,05/30/2017 12:00:00 AM,Mon,0,1,0,0,Black or African American/Not Hispanic,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78705,Henry,3
Jul,2017-897999,11-02-2017 00:00,Wed,0,3,1,2,Black or African American/Not Hispanic,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-White,78757,David,6
Jul,2017-219008,12/13/2017 12:00:00 AM,Tue,1,3,1,0,Unknown,Robbery,Other,Anti-Other,78705,Edward,4
Jun,2017-940499,05/26/2017 12:00:00 AM,Thu,0,2,0,0,Black or African American/Not Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78701,Ida,10
Jun,2017-223083,07/20/2017 12:00:00 AM,Wed,0,2,0,0,Black or African American/Not Hispanic,Robbery,Park/Playground,Anti-Asian,78704,Edward,5
Dec,2017-355601,06/30/2017 12:00:00 AM,Thu,1,3,2,1,White/Not Hispanic,Aggravated Assault,Other,Anti-Black or African American,78704,Edward,7
Jun,2017-987537,04/24/2017 12:00:00 AM,Sun,0,0,2,3,White/Not Hispanic,Robbery,Park/Playground,Anti-Jewish,78705,Henry,9
Apr,2017-360912,09/24/2017 12:00:00 AM,Sat,0,3,1,2,White/Not Hispanic,Burglary,Store/Shop,Anti-Other,78702,Edward,9
Jun,2017-804073,08/20/2017 12:00:00 AM,Sat,1,2,2,2,Hispanic,Robbery,Home/Residence,Anti-Other,78705,Ida,7
Mar,2017-394328,12-10-2017 00:00,Sat,0,1,1,2,Asian,Aggravated Assault,Home/Residence,Anti-Black or African American,78701,Charlie,5
May,2017-869136,06-08-2017 00:00,Wed,2,2,2,3,Asian,Theft,Home/Residence,Anti-Jewish,78702,David,2
Mar,2017-817299,10/24/2017 12:00:00 AM,Mon,2,0,1,2,White/Not Hispanic,Burglary,Park/Playground,Anti-Hispanic,78705,Ida,10
Jan,2017-361774,08/15/2017 12:00:00 AM,Mon,0,2,0,1,Other,Theft,Park/Playground,Anti-Other,78705,Charlie,4
Jul,2017-978830,08/19/2017 12:00:00 AM,Fri,2,0,0,3,White/Not Hispanic,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78704,Ida,1
Jan,2017-602339,04/15/2017 12:00:00 AM,Fri,2,1,2,2,White/Not Hispanic,Vandalism,Store/Shop,Anti-Hispanic,78702,Henry,4
Jun,2017-130255,09-09-2017 00:00,Fri,0,2,2,3,Unknown,Aggravated Assault,School/College,Anti-Black or African American,78704,Ida,10
Nov,2017-681702,09/16/2017 12:00:00 AM,Fri,0,0,1,3,White/Not Hispanic,Robbery,Other,Anti-Black or African American,78757,Henry,7
Nov,2017-215937,04/13/2017 12:00:00 AM,Wed,2,0,1,3,Asian,Theft,School/College,Anti-Black or African American,78705,David,1
Aug,2017-323203,01/28/2017 12:00:00 AM,Fri,2,1,0,3,Black or African American/Not Hispanic,Vandalism,Other,Anti-White,78757,Ida,1
Jun,2017-271970,10-02-2017 00:00,Sun,0,3,2,3,Hispanic,Burglary,Home/Residence,Anti-Other,78702,Henry,5
Sep,2017-442284,05-02-2017 00:00,Mon,2,0,2,3,Other,Robbery,Other,Anti-Hispanic,78702,Edward,8
Oct,2017-700281,04-06-2017 00:00,Wed,0,1,2,3,Unknown,Burglary,Park/Playground,Anti-Asian,78702,David,10
Oct,2017-334703,03-08-2017 00:00,Tue,0,2,0,0,Asian,Vandalism,Other,Anti-Asian,78757,Ida,6
Aug,2017-633210,02-07-2017 00:00,Mon,0,1,2,1,Asian,Robbery,Other,Anti-Asian,78704,Charlie,1
May,2017-120575,07-05-2017 00:00,Tue,0,1,0,3,Unknown,Theft,Park/Playground,Anti-Asian,78705,David,10
Nov,2017-918043,05-11-2017 00:00,Wed,2,2,0,3,Other,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78757,Henry,3
Aug,2017-764593,04/18/2017 12:00:00 AM,Mon,0,2,1,2,Asian,Destruction,School/College,Anti-Asian,78704,Edward,8
Dec,2017-590519,10-06-2017 00:00,Thu,1,2,1,3,Hispanic,Burglary,Park/Playground,Anti-White,78757,Ida,5
Jun,2017-374954,08/15/2017 12:00:00 AM,Mon,2,3,1,0,Other,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-White,78704,David,9
Jun,2017-361248,05/24/2017 12:00:00 AM,Tue,2,3,1,2,Unknown,Aggravated Assault,School/College,Anti-White,78702,Edward,4
Apr,2017-674598,05/15/2017 12:00:00 AM,Sun,0,2,0,1,White/Not Hispanic,Aggravated Assault,Park/Playground,Anti-Asian,78704,Henry,5
Mar,2017-246739,03-06-2017 00:00,Sun,0,3,1,2,Unknown,Vandalism,Other,Anti-Asian,78702,Ida,10
May,2017-309777,02/18/2017 12:00:00 AM,Fri,1,0,0,1,Unknown,Vandalism,Home/Residence,Anti-Asian,78704,David,4
Apr,2017-878629,12-06-2017 00:00,Tue,0,2,0,0,Asian,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78702,David,5
Aug,2017-353384,02/24/2017 12:00:00 AM,Thu,1,1,2,0,Hispanic,Burglary,Park/Playground,Anti-Other,78701,Edward,8
Mar,2017-383502,08/24/2017 12:00:00 AM,Wed,1,1,2,3,Black or African American/Not Hispanic,Robbery,Other,Anti-Hispanic,78701,David,10
Oct,2017-594334,03-03-2017 00:00,Thu,2,3,0,3,Hispanic,Destruction,Other,Anti-White,78705,Henry,10
Feb,2017-675943,02/14/2017 12:00:00 AM,Mon,2,2,0,2,Asian,Theft,Store/Shop,Anti-Jewish,78757,Edward,6
Nov,2017-532407,03/17/2017 12:00:00 AM,Thu,1,0,1,2,Other,Vandalism,Store/Shop,Anti-Asian,78701,David,6
Jul,2017-823025,09-03-2017 00:00,Sat,2,2,2,0,Asian,Aggravated Assault,School/College,Anti-Asian,78705,Henry,3
Nov,2017-770899,06-06-2017 00:00,Mon,0,1,1,3,Black or African American/Not Hispanic,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78705,Charlie,2
Jan,2017-198606,10/28/2017 12:00:00 AM,Fri,0,0,0,0,White/Not Hispanic,Aggravated Assault,School/College,Anti-Asian,78704,David,9
Nov,2017-904791,02-09-2017 00:00,Wed,0,0,0,2,Unknown,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78701,David,8
Oct,2017-901736,06-12-2017 00:00,Sun,2,0,2,3,Unknown,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-White,78701,Henry,10
Jul,2017-677191,12-03-2017 00:00,Sat,2,1,0,0,Hispanic,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78701,Ida,9
Dec,2017-365306,11/18/2017 12:00:00 AM,Fri,1,1,0,1,Hispanic,Theft,Park/Playground,Anti-White,78702,Edward,10
Feb,2017-359686,06/16/2017 12:00:00 AM,Thu,1,3,1,3,White/Not Hispanic,Burglary,School/College,Anti-Other,78757,Charlie,2
Dec,2017-626673,10/14/2017 12:00:00 AM,Fri,2,2,0,0,Black or African American/Not Hispanic,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78705,Ida,3
Aug,2017-254083,01-01-2017 00:00,Sat,2,3,2,3,White/Not Hispanic,Theft,Home/Residence,Anti-Asian,78705,Ida,5
Feb,2017-731839,03/26/2017 12:00:00 AM,Sat,2,1,2,1,Hispanic,Burglary,Home/Residence,Anti-Hispanic,78757,Henry,1
Jun,2017-676990,03/21/2017 12:00:00 AM,Mon,1,2,2,3,White/Not Hispanic,Vandalism,Park/Playground,Anti-White,78757,David,1
Sep,2017-118049,07/18/2017 12:00:00 AM,Mon,1,3,0,2,Asian,Theft,Home/Residence,Anti-Black or African American,78704,Charlie,2
Jun,2017-770226,04-08-2017 00:00,Fri,1,3,0,3,Unknown,Aggravated Assault,School/College,Anti-Asian,78704,Henry,10
Jun,2017-348476,09/15/2017 12:00:00 AM,Thu,0,1,0,2,Other,Theft,School/College,Anti-Black or African American,78757,Charlie,10
Mar,2017-487909,09/19/2017 12:00:00 AM,Mon,2,2,2,1,Hispanic,Aggravated Assault,School/College,Anti-Asian,78702,Charlie,10
Jun,2017-960581,02-12-2017 00:00,Sat,1,0,1,3,Unknown,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78757,Henry,2
Oct,2017-618848,01/29/2017 12:00:00 AM,Sat,0,0,2,3,Black or African American/Not Hispanic,Vandalism,School/College,Anti-Jewish,78701,Edward,4
Jul,2017-907590,10/27/2017 12:00:00 AM,Thu,1,3,1,0,Other,Destruction,Home/Residence,Anti-Jewish,78757,Charlie,6
Sep,2017-902185,02/25/2017 12:00:00 AM,Fri,2,0,0,3,Other,Burglary,Other,Anti-Hispanic,78701,Edward,1
Mar,2017-634242,08/29/2017 12:00:00 AM,Mon,0,1,1,2,Asian,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78705,Charlie,5
Jan,2017-846250,07-11-2017 00:00,Mon,0,3,2,3,Hispanic,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78704,Edward,4
Jul,2017-210220,09/27/2017 12:00:00 AM,Tue,2,2,0,2,Hispanic,Destruction,Other,Anti-Jewish,78701,Henry,3
Aug,2017-566565,04/15/2017 12:00:00 AM,Fri,2,1,2,2,White/Not Hispanic,Robbery,Home/Residence,Anti-Asian,78705,David,1
Feb,2017-151718,08/26/2017 12:00:00 AM,Fri,1,0,1,3,Asian,Burglary,Store/Shop,Anti-Other,78704,Charlie,8
Aug,2017-804937,12/24/2017 12:00:00 AM,Sat,1,1,1,0,Black or African American/Not Hispanic,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78701,Ida,1
Jan,2017-638015,01/16/2017 12:00:00 AM,Sun,0,0,0,3,Black or African American/Not Hispanic,Destruction,Park/Playground,Anti-Black or African American,78702,Ida,5
Feb,2017-430777,06-10-2017 00:00,Fri,0,0,2,1,Hispanic,Vandalism,Other,Anti-Black or African American,78702,Henry,3
Aug,2017-749334,12-11-2017 00:00,Sun,0,2,0,2,Black or African American/Not Hispanic,Burglary,Park/Playground,Anti-Jewish,78705,Ida,10
Nov,2017-597494,02/19/2017 12:00:00 AM,Sat,2,3,1,3,White/Not Hispanic,Burglary,Store/Shop,Anti-Asian,78702,Edward,1
Jun,2017-167492,04/25/2017 12:00:00 AM,Mon,1,0,0,1,White/Not Hispanic,Theft,School/College,Anti-Jewish,78757,Charlie,5
Feb,2017-532775,06-10-2017 00:00,Fri,2,2,1,1,Asian,Destruction,Home/Residence,Anti-Hispanic,78757,Ida,1
Feb,2017-357975,09-09-2017 00:00,Fri,0,3,0,1,Asian,Destruction,Park/Playground,Anti-Asian,78757,Charlie,5
Aug,2017-347623,03/30/2017 12:00:00 AM,Wed,2,1,2,0,Asian,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78705,Ida,4
May,2017-729142,10/29/2017 12:00:00 AM,Sat,1,2,0,0,Hispanic,Destruction,School/College,Anti-Black or African American,78704,Charlie,7
Sep,2017-479824,12/13/2017 12:00:00 AM,Tue,1,0,2,3,Black or African American/Not Hispanic,Theft,School/College,Anti-Black or African American,78702,Henry,10
Oct,2017-847552,06/19/2017 12:00:00 AM,Sun,2,2,2,1,Hispanic,Burglary,School/College,Anti-Other,78705,Ida,7
Mar,2017-108172,01/31/2017 12:00:00 AM,Mon,0,2,2,1,Other,Burglary,Store/Shop,Anti-Asian,78705,Charlie,10
Oct,2017-449261,02-05-2017 00:00,Sat,2,0,2,3,Hispanic,Burglary,Home/Residence,Anti-Asian,78704,Henry,1
Dec,2017-158502,06/14/2017 12:00:00 AM,Tue,0,2,1,2,Black or African American/Not Hispanic,Theft,Park/Playground,Anti-Black or African American,78704,Ida,9
Jun,2017-297624,12-08-2017 00:00,Thu,0,1,1,1,Black or African American/Not Hispanic,Destruction,Park/Playground,Anti-Other,78757,Ida,6
Aug,2017-134164,09-01-2017 00:00,Thu,2,0,1,2,Asian,Aggravated Assault,Store/Shop,Anti-Other,78704,Henry,4
May,2017-528130,07/30/2017 12:00:00 AM,Sat,0,0,1,0,Asian,Burglary,Store/Shop,Anti-White,78702,David,1
Jul,2017-760496,09/18/2017 12:00:00 AM,Sun,1,1,1,3,Black or African American/Not Hispanic,Burglary,Park/Playground,Anti-Black or African American,78701,David,9
Nov,2017-316419,03/30/2017 12:00:00 AM,Wed,2,3,0,0,White/Not Hispanic,Burglary,Park/Playground,Anti-White,78704,Edward,4
Mar,2017-727577,08-02-2017 00:00,Tue,1,1,0,0,Other,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78701,Charlie,8
Jun,2017-126138,03-07-2017 00:00,Mon,0,0,2,1,Other,Destruction,Other,Anti-White,78757,Henry,1
Feb,2017-154237,07-05-2017 00:00,Tue,1,2,0,0,Hispanic,Robbery,Park/Playground,Anti-Hispanic,78701,Henry,1
Dec,2017-347308,03/13/2017 12:00:00 AM,Sun,2,2,1,0,Unknown,Vandalism,School/College,Anti-White,78704,David,9
May,2017-191897,03/30/2017 12:00:00 AM,Wed,1,0,1,2,Unknown,Vandalism,Other,Anti-Hispanic,78702,Henry,8
May,2017-398580,01/25/2017 12:00:00 AM,Tue,0,3,0,0,Unknown,Robbery,Store/Shop,Anti-Other,78702,Henry,10
Nov,2017-220959,04-06-2017 00:00,Wed,1,3,1,1,Hispanic,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78702,David,10
Feb,2017-829612,04/14/2017 12:00:00 AM,Thu,0,2,0,1,Hispanic,Burglary,School/College,Anti-White,78702,David,2
Dec,2017-758689,11-07-2017 00:00,Mon,1,2,1,3,White/Not Hispanic,Robbery,School/College,Anti-Hispanic,78701,Ida,2
Jun,2017-509092,06-03-2017 00:00,Fri,0,0,1,1,Black or African American/Not Hispanic,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78705,David,7
Jul,2017-997317,01-12-2017 00:00,Wed,2,1,0,3,Asian,Vandalism,Store/Shop,Anti-Black or African American,78704,Ida,3
Sep,2017-110798,06/16/2017 12:00:00 AM,Thu,2,1,2,0,White/Not Hispanic,Aggravated Assault,Store/Shop,Anti-Black or African American,78701,Henry,7
Mar,2017-745443,07/13/2017 12:00:00 AM,Wed,0,2,0,3,Asian,Vandalism,Park/Playground,Anti-Black or African American,78704,Ida,9
Jan,2017-615205,12-04-2017 00:00,Sun,0,2,0,3,Hispanic,Vandalism,Home/Residence,Anti-Hispanic,78705,Ida,4
Feb,2017-961945,01-07-2017 00:00,Fri,1,0,0,1,White/Not Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-White,78757,Henry,1
Jul,2017-552242,07-11-2017 00:00,Mon,1,3,1,0,Unknown,Aggravated Assault,Store/Shop,Anti-Other,78701,Edward,10
